Time,Minutes,Acetate,P,TSS,VSS,DO
10:45,0,0,6.65,777.3,500,0.34
10:56,11,82.46145117,5.35,777.3,500,0.35
11:01,16,79.67284941,11.54,777.3,500,0.21
11:11,26,54.2970937,21.47,777.3,500,0.19
11:16,31,40.32547054,36.14,777.3,500,0.07
11:31,46,18.81785923,53.01,777.3,500,0.18
11:55,70,0,59.05,777.3,500,0.31
12:25,100,0,59.55,777.3,500,1.48
12:30,105,0,45.70,777.3,500,4.66
12:40,115,0,37.65,777.3,500,6.15
12:55,130,0,34.37,777.3,500,6.47
13:15,150,0,11.47,777.3,500,6.61
13:55,190,0,0.48,777.3,500,7.11
14:25,220,0,0.07,777.3,500,7.27
14:55,250,0,0.22,777.3,500,7.42
15:25,280,0,0.41,777.3,500,7.42